Time Start,Cluster,CPU Utilization (%)
2024-11-06 15:05:00,capo-28037-pool1-lk5nv,14.49
2024-11-06 15:10:00,capo-28037-pool1-lk5nv,161.18
2024-11-06 15:15:00,capo-28037-pool1-lk5nv,404.35
2024-11-06 15:20:00,capo-28037-pool1-lk5nv,521.99
2024-11-06 15:25:00,capo-28037-pool1-lk5nv,556.94
2024-11-06 15:30:00,capo-28037-pool1-lk5nv,825.27
2024-11-06 15:35:00,capo-28037-pool1-lk5nv,914.77
2024-11-06 15:40:00,capo-28037-pool1-lk5nv,1218.11
2024-11-06 15:46:00,capo-28037-pool1-lk5nv,1257.59
2024-11-06 15:51:00,capo-28037-pool1-lk5nv,1311.32
