Time Start,Cluster,CPU Utilization (%)
2024-11-06 15:05:00,capo-28037-pool1-xxpmf,16.37
2024-11-06 15:10:00,capo-28037-pool1-xxpmf,265.75
2024-11-06 15:15:00,capo-28037-pool1-xxpmf,700.1
2024-11-06 15:20:00,capo-28037-pool1-xxpmf,879.06
2024-11-06 15:25:00,capo-28037-pool1-xxpmf,1195.28
2024-11-06 15:30:00,capo-28037-pool1-xxpmf,1375.31
2024-11-06 15:35:00,capo-28037-pool1-xxpmf,1573.92
2024-11-06 15:40:00,capo-28037-pool1-xxpmf,1821.37
2024-11-06 15:46:00,capo-28037-pool1-xxpmf,2513.55
2024-11-06 15:51:00,capo-28037-pool1-xxpmf,2374.07
